ITEM NO.,Description,Category,Material,Color,Dimensions (mm),Price (GHS),Stock,Quantity,Supplier,Image URL
B203,Double towel rack with towel holder,Accessory,,,,500,,,,
B206,Towel ring,Accessory,,,,,,,,
B207,Paper holder,Accessory,,,,,,,,
B208,Soap dish holder,Accessory,,,,195,,,,
B283,Double towel bar,Accessory,,,,,,,,
B288,Single towel bar,Accessory,,,,,,,,
B294,Paper holder,Accessory,,,,,,,,
B295,Shelp,Accessory,,,,,,,,
B298,Double shelp,Accessory,,,,,,,,
AK54,Paper holder,Accessory,,,,,,,,
AK55,Paper holder,Accessory,,,,,,,,
AK56,Paper holder,Accessory,,,,,,,,
AK57,Paper holder,Accessory,,,,,,,,
AK58,Paper holder,Accessory,,,,,,,,
